Old Issue Name,New Issue Name
4-Way Stop,4-Way Stop
Audible Crossing,Audible Crossing
Audible Pedestrian Crossing Signal,Audible Crossing
Audible Pedestrian Signal,Audible Crossing
Audible RRFB,Audible Crossing
Audible Signal,Audible Crossing
Bike Parking,Bicycle Parking
Bike Rack,Bicycle Parking
Broken Sidewalk,Broken Sidewalk
Broken/Narrow Sidewalks,Broken Sidewalk
Broken/Uneven Sidewalks,Broken Sidewalk
Broken/narrow Sidewalk,Broken Sidewalk
Cracked Sidewalk,Broken Sidewalk
Cracked Sidewalks,Broken Sidewalk
Uneven Sidewalk,Broken Sidewalk
Uneven Sidewalks,Broken Sidewalk
Sheltered Bus Stop,Bus Shelter
No Bench or Shade Bus Stop,Bus Stop Lacking Amenities
No Shade Bus Stop,Bus Stop Lacking Amenities
Bicycle Lane,Class II Bicycle Lane
Bike Lane,Class II Bicycle Lane
Bike lanes,Class II Bicycle Lane
Cycle Track,Class IV Bicycle Lane
Separated Bike Lane,Class IV Bicycle Lane
Curb Extension,Curb Extension
Curb Should be Painted Red,Daylighting Needed
"Parking obscures line of sight during drop off and pick up, teachers would like no parking during x hours signage",Daylighting Needed
Bus Only Lane,Dedicated Bus Lane
Diverters,Diverters
Aggressive Drivers,Driver Infractions Observed
Cars Roll Stop,Driver Infractions Observed
Cars do not yield to pedestrians,Driver Infractions Observed
Drivers Speeding,Driver Infractions Observed
Speeding Cars,Driver Infractions Observed
Speeding Vehicles,Driver Infractions Observed
Faded Crosswalk,Faded Crosswalk
Faded Crosswalk Paint,Faded Crosswalk
Faded crosswalk,Faded Crosswalk
Faded School Crosswalks,Faded Crosswalk
Faded/ Missing Crosswalks,Faded Crosswalk
Faded/Missing Crosswalk,Faded Crosswalk
Faded/Missing Crosswalks,Faded Crosswalk
Flooding,Flooding
Flooding Issues,Flooding
Crosswalks,High Visibility Crosswalk
High Visibility Crosswalk,High Visibility Crosswalk
Yellow Crosswalk,High Visibility Crosswalk
Zebra Crosswalks,High Visibility Crosswalk
Insufficient Street Lighting,Insufficient Lighting
Lack of Lighting,Insufficient Lighting
Poor Lighting,Insufficient Lighting
Pacific Beach Taylor Branch Library,Library
"Long Light, hard to catch bus",Long Pedestrian Wait Times
Mid-Block Crossing,Midblock Crossing
Midblock Crossing,Midblock Crossing
Narrow Sidewalk,Narrow Sidewalk
Narrow Sidewalks,Narrow Sidewalk
Narrow/ Broken Sidewalks,Narrow Sidewalk
No Audible Pedestrian Crossing Signals,No Audible Crossing
"No Riding Bikes on Sidewalk"" Sign, but no bike infrastructure",No Bike Infrastructure
Missing Crosswalk,No Crosswalk
Missing Crosswalks,No Crosswalk
No Crossing,No Crosswalk
No Crosswalk,No Crosswalk
No Crosswalks or Stoppages,No Crosswalk
No Crosswalk\xa0,No Crosswalk
No Ramp or Crosswalk,No Crosswalk
No School Crossing Markings,No Crosswalk
No crosswalk,No Crosswalk
"Only one crosswalk, no vehicle stoppage",No Crosswalk
Missing Curb Ramp,No Curb Ramp
No Curb Ramp,No Curb Ramp
No Ramp,No Curb Ramp
No Ramps,No Curb Ramp
No Shade,No Shade
Missing Sidewalk,No Sidewalk
Missing/Broken Sidewalks,No Sidewalk
No Sidewalk,No Sidewalk
No Truncated Domes,No Truncated Domes
"4394 Mayberry St, San Diego, CA 92113, USA",NULL
"4853 Bunnell St, San Diego, CA 92113, USA",NULL
"4855 Ocean View Blvd, San Diego, CA 92113, USA",NULL
"932 Delta St, National City, CA 91950, USA",NULL
Chicano Park,NULL
Chicano Park Museum and Cultural Center,NULL
"Division St & Highland Av, National City, CA 91950, USA",NULL
Father Joe's,NULL
Father Joe's\xa0,NULL
Keeler Court Apartments,NULL
Las Serenas Apartments,NULL
"Las Serenas Apartments, Delta Street, San Diego, CA, USA",NULL
Little Italy,NULL
Marriott Marquis San Diego Marina,NULL
"Mayberry Street & South 44th Street, San Diego, CA, USA",NULL
Mayberry Townhomes,NULL
Point 20,NULL
Polk Avenue,NULL
Route,NULL
San Diego Convention Center,NULL
Starting Point,NULL
Walk Audit Route,NULL
Walk Audit Start Location,NULL
Walking Route,NULL
Walking route,NULL
University Avenue,NULL
Empty Lot,NULL
Former car crash,NULL
Witnessed Jaywalking,NULL
Beg Button Obscured,Obstruction
Cars Parked on Curb,Obstruction
Construction,Obstruction
Obstruction,Obstruction
Obstructions/Trash,Obstruction
Overgrown Path,Obstruction
Sidewalk Obstruction,Obstruction
Sidewalk Obstructions,Obstruction
Unusable Sidewalk,Obstruction
Kennedy Neighborhood Park,Park
Memorial Dog Park,Park
Teralta Park,Park
Waterfront Park,Park
Parklets,Parklet
Protected Pedestrian Promenade,Pedestrian Promenade
Pedestrian Median,Pedestrian Refuge Island
Pedestrian Refuge Island,Pedestrian Refuge Island
Pedestrian Scale Lighting,Pedestrian-Scale Lighting
Intersection Mural,Public Art
Mural,Public Art
Murals,Public Art
Murals/Art,Public Art
Rapid Flashing Beacon,Rectangular Rapid Flashing Beacon (RRFB)
Rapid Flashing Beacon (RRFB),Rectangular Rapid Flashing Beacon (RRFB)
Euclid Elementary School,School
Lincoln Senior High School,School
Montgomery Middle School,School
Pacific Beach Middle School,School
San Diego College of Continuing Education,School
School Entrance,School
St. Rita's Catholic School,School
Paradise Senior Center,Senior Center
Sharrow,Sharrows
10 Second Crossing Window,Short Crossing Window
10 second crossing window,Short Crossing Window
"Long Signals, Short Crossing Windows",Short Crossing Window
Short Crossing Signal,Short Crossing Window
Short Crossing Time,Short Crossing Window
Not Enough Time to Cross,Short Crossing Window
Traffic lights malfuctioning,Signal Malfunction
Hill,Steep Incline
Speed Bump,Traffic Calming Infrastructure
12th & Imperial Transit Center,Transit Station
County Center/Little Italy Station,Transit Station
Nobel Drive Station,Transit Station
Santa Fe Depot,Transit Station
Seaport Village,Transit Station
Debris,Trash or Debris
Debris on Sidewalk,Trash or Debris
Excess Litter,Trash or Debris
Fridge in Curb Ramp,Trash or Debris
Litter,Trash or Debris
Trash,Trash or Debris
Trash\xa0,Trash or Debris
Weeds and Graffiti,Trash or Debris
Shade,Trees or Shade
Shaded Sidewalk,Trees or Shade
"Tree Cover, Wide Sidewalks",Trees or Shade
Trees,Trees or Shade
Trees/ Shade,Trees or Shade
Trees/Shade,Trees or Shade
Bike Lane Starts Here,Wayfinding Signage
Wayfinding Sign,Wayfinding Signage
Wide Sidewalk,Wide Sidewalk
Wide Sidewalks,Wide Sidewalk